                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3509,                 1.4201,                 1.1032,                0.89328,                0.88565,                0.92974,                0.58256,                 1.3026,                0.87265,                 1.0904,             0.00055386,             0.00055386,             0.00055386
                      1,                 1.2892,                 0.9028,                 1.0859,                0.88517,                0.85636,                0.90622,                0.55624,                 1.3281,                0.80974,                 1.1251,              0.0010876,              0.0010876,              0.0010876
                      2,                 1.2833,                 0.8187,                 1.0921,                0.90633,                0.87788,                0.92839,                0.59538,                 1.2842,                0.72784,                 1.1196,              0.0015993,              0.0015993,              0.0015993
                      3,                 1.2678,                0.76672,                 1.0892,                0.91391,                0.86823,                0.93236,                0.61652,                 1.2282,                0.67686,                 1.1013,               0.001568,               0.001568,               0.001568
                      4,                 1.2635,                0.74377,                 1.0904,                0.89998,                0.87163,                0.92812,                  0.601,                 1.2629,                0.66824,                 1.1182,               0.001568,               0.001568,               0.001568
                      5,                 1.2411,                0.70757,                 1.0791,                0.92492,                0.88221,                 0.9406,                0.62108,                 1.2426,                0.63397,                 1.0971,               0.001535,               0.001535,               0.001535
                      6,                 1.2269,                0.69285,                 1.0769,                0.92074,                0.89309,                0.94541,                0.62336,                 1.2408,                0.60749,                 1.1031,               0.001502,               0.001502,               0.001502
                      7,                 1.2219,                 0.6684,                 1.0735,                0.92509,                0.89044,                0.94199,                0.62524,                 1.2204,                0.61106,                 1.0977,               0.001469,               0.001469,               0.001469
                      8,                 1.2027,                0.65802,                 1.0629,                0.91791,                0.89753,                0.94015,                0.61561,                 1.2516,                 0.6147,                 1.1028,               0.001436,               0.001436,               0.001436
                      9,                 1.1948,                0.64865,                 1.0613,                0.92584,                0.87625,                0.94069,                 0.6321,                 1.2031,                0.60244,                 1.0927,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1888,                0.64016,                 1.0584,                0.92977,                0.90158,                0.95156,                0.64769,                 1.1812,                0.55875,                 1.0739,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1777,                0.62389,                 1.0514,                0.92972,                0.90539,                0.95233,                 0.6503,                 1.1837,                 0.5665,                 1.0752,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.188,                0.61695,                 1.0612,                0.93462,                0.91313,                0.95718,                 0.6528,                 1.1865,                0.54736,                  1.084,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1736,                0.60938,                 1.0526,                0.91887,                0.91558,                0.95617,                0.65236,                 1.1753,                0.54801,                 1.0805,              0.0012709,              0.0012709,              0.0012709
                     14,                   1.17,                0.60417,                 1.0578,                0.93256,                0.90599,                0.95436,                0.65143,                 1.1708,                0.54308,                 1.0803,              0.0012379,              0.0012379,              0.0012379
